SRRL BMS Dew Point Temperature,SRRL BMS Diffuse Horizontal Irradiance,SRRL BMS Direct Normal Irradiance,SRRL BMS Dry Bulb Temperature,SRRL BMS Global Horizontal Irradiance,SRRL BMS Relative Humidity,SRRL BMS Wind Speed at 19',day_of_week,weekend,hour,minute,usage
21.07285362,-1.293341041,-0.519910395,55.66999817,-1.534669042,24.21999931,13.64570808,2,0,2,39,99.92
21.18156527,-1.312214971,-0.223561406,55.59799957,-1.579741001,24.40999985,13.22515202,2,0,2,40,100.85
21.17987759,-1.311213017,-0.01559728,55.47200012,-1.624397993,24.52000046,13.3370018,2,0,2,41,101.02
21.45839991,-1.303632975,-0.025995521,55.38199997,-1.633854032,24.93000031,16.0504837,2,0,2,42,101.19
21.75205125,-1.28649497,-0.421126902,55.52600098,-1.628908992,25.14999962,14.70828342,2,0,2,43,101.36
21.85334033,-1.265596032,-0.597895622,55.66999817,-1.567796946,25.13999939,14.45550251,2,0,2,44,101.53
21.74158508,-1.282276988,-0.525107324,55.68799973,-1.579378963,24.98999977,13.28107738,2,0,2,45,101.7
21.61428728,-1.288877964,-0.488713294,55.74200058,-1.631903052,24.79000092,11.9679575,2,0,2,46,100.37
21.55556477,-1.319362998,-0.332740813,55.83200073,-1.664978027,24.63999939,13.3370018,2,0,2,47,99.04
21.57958432,-1.330760956,-0.306746304,55.88600159,-1.662220955,24.62000084,14.51142788,2,0,2,48,97.71
21.66254906,-1.355821967,-0.306745887,55.84999847,-1.661156058,24.75,14.3168087,2,0,2,49,96.38
21.93554834,-1.353453994,-0.301546514,55.77799988,-1.62828505,25.13999939,18.6789608,2,0,2,50,95.05
21.96682962,-1.316684008,-0.571897984,55.93999863,-1.577563047,25.03000069,15.79770374,2,0,2,51,96.13
22.03655135,-1.287292004,-0.5874964,56.11999893,-1.536074996,24.95000076,13.64570808,2,0,2,52,97.21
22.07327113,-1.304177046,-0.410728395,56.10200119,-1.584807038,25.01000023,13.5338583,2,0,2,53,98.29
22.27423293,-1.321213961,-0.509513974,56.04800034,-1.610882044,25.29999924,18.38815117,2,0,2,54,99.37
22.25056867,-1.300042033,-0.837056577,56.19200134,-1.541651011,25.13999939,18.27630043,2,0,2,55,100.45
22.10535606,-1.262043953,-1.034623027,56.44400024,-1.448920012,24.73999977,17.81100464,2,0,2,56,100.95
22.15294079,-1.252962947,-0.80066371,56.4620018,-1.436555028,24.78000069,16.60973549,2,0,2,57,101.45
22.20491233,-1.272950053,-0.519910276,56.40800095,-1.488170981,24.88999939,16.0504837,2,0,2,58,101.95
22.21969706,-1.259693027,-0.395131797,56.37200165,-1.500223994,24.94000053,17.22491074,2,0,2,59,102.45
22.31827262,-1.237334013,-0.296349287,56.33599854,-1.508525968,25.09000015,18.09734154,2,0,3,0,102.95
22.28384219,-1.220216036,-0.44192329,56.38999939,-1.505975962,25,17.84008598,2,0,3,1,102.19
22.41537814,-1.205275059,-0.535506427,56.55199814,-1.497583032,25.01000023,14.76420879,2,0,3,2,101.43
22.42592608,-1.206444025,-0.426324993,56.58800125,-1.52383101,24.98999977,16.24510384,2,0,3,3,100.67
22.59415021,-1.237926006,-0.306745589,56.5340004,-1.528731942,25.23999977,17.81100464,2,0,3,4,99.91
22.52576395,-1.229186058,-0.571897984,56.64199829,-1.531612992,25.05999947,14.03718376,2,0,3,5,99.15
22.55001863,-1.252609968,-0.447120011,56.69599915,-1.551833987,25.04000092,12.49812698,2,0,3,6,100.29
22.66071368,-1.303053021,-0.093583152,56.5340004,-1.625478029,25.31999969,16.02140427,2,0,3,7,101.43
